,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
82,KNN_hard,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6688885319627369,0.1,1,5.0
83,KNN_proba,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6693287408835111,0.1,1,5.0
84,EM,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6719283530237594,0.1,1,
85,Oracle,Employee,MNAR,0.9857764876632801,0.5,0.992837304487648,0.7017229153145357,0.1,2,
86,Naive,Employee,MNAR,0.9857764876632801,0.5,0.992837304487648,0.7010153001129782,0.1,2,
87,KNN_hard,Employee,MNAR,0.9857764876632801,0.5,0.992837304487648,0.7020309006995024,0.1,2,5.0
88,KNN_proba,Employee,MNAR,0.9857764876632801,0.5,0.992837304487648,0.7015907069541598,0.1,2,5.0
89,EM,Employee,MNAR,0.9857764876632801,0.5,0.992837304487648,0.7016177495733276,0.1,2,
90,Oracle,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6810945562234032,0.1,3,
91,Naive,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6828452393170402,0.1,3,
92,KNN_hard,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6818784219756094,0.1,3,5.0
93,KNN_proba,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6842329940548171,0.1,3,5.0
94,EM,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6829791063335461,0.1,3,
95,Oracle,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.7003714066002388,0.1,4,
96,Naive,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6994447493637599,0.1,4,
97,KNN_hard,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6986861696035602,0.1,4,5.0
98,KNN_proba,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6980748435615171,0.1,4,5.0
99,EM,Employee,MNAR,0.9856313497822932,0.5,0.9927636868649953,0.6994328500734037,0.1,4,
100,Oracle,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6637636672972362,0.3,0,
101,Naive,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6603684072765346,0.3,0,
102,KNN_hard,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6465732115025401,0.3,0,5.0
103,KNN_proba,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6460556685821703,0.3,0,5.0
104,EM,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.648714768414415,0.3,0,
105,Oracle,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6833871696945901,0.3,1,
106,Naive,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6542337390393927,0.3,1,
107,KNN_hard,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6275668939096501,0.3,1,5.0
108,KNN_proba,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6295820394760324,0.3,1,5.0
109,EM,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6107274154977336,0.3,1,
110,Oracle,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.7017229153145357,0.3,2,
111,Naive,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.6980120670176198,0.3,2,
112,KNN_hard,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.6922204394125141,0.3,2,5.0
113,KNN_proba,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.6945836638542342,0.3,2,5.0
114,EM,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.6959658421672557,0.3,2,
115,Oracle,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6810945562234032,0.3,3,
116,Naive,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6743149355430315,0.3,3,
117,KNN_hard,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6688427493905331,0.3,3,5.0
118,KNN_proba,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6661401230684104,0.3,3,5.0
119,EM,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6678536208796848,0.3,3,
120,Oracle,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.7003714066002388,0.3,4,
121,Naive,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6950479615771914,0.3,4,
122,KNN_hard,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.695052423811075,0.3,4,5.0
123,KNN_proba,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6964312540810846,0.3,4,5.0
124,EM,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.694225423131328,0.3,4,
125,Oracle,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6637636672972362,0.3,0,
126,Naive,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6452986877015146,0.3,0,
127,KNN_hard,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.5929584418983712,0.3,0,5.0
128,KNN_proba,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6058330656387194,0.3,0,5.0
