,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
47,KNN_hard,College,MAR1,0.9362214199759326,0.8224918672739102,0.7282051282051282,0.9613287067158245,0.1,4,5.0
48,KNN_proba,College,MAR1,0.9366225431207381,0.8240641943179354,0.7303754266211604,0.9617219692040773,0.1,4,5.0
49,EM,College,MAR1,0.9370236662655436,0.8256365213619605,0.7325383304940375,0.9611219547458976,0.1,4,
50,Oracle,College,MAR2,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.1,0,
51,Naive,College,MAR2,0.9326383319967922,0.8137168192748798,0.7123287671232876,0.9571699847391787,0.1,0,
52,KNN_hard,College,MAR2,0.9314354450681636,0.8103423857750647,0.7066895368782161,0.9568086963559008,0.1,0,5.0
53,KNN_proba,College,MAR2,0.9322373696872494,0.8108019445985941,0.7091222030981067,0.957548614964854,0.1,0,5.0
54,EM,College,MAR2,0.9334402566158782,0.8155189257306696,0.7157534246575342,0.957263919718831,0.1,0,
55,Oracle,College,MAR2,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.1,1,
56,Naive,College,MAR2,0.9246190858059342,0.8158339692008879,0.6938110749185668,0.9567884642064373,0.1,1,
57,KNN_hard,College,MAR2,0.9246190858059342,0.8225467073621902,0.6987179487179487,0.9567508902145765,0.1,1,5.0
58,KNN_proba,College,MAR2,0.9246190858059342,0.8158339692008879,0.6938110749185668,0.9573000485571586,0.1,1,5.0
59,EM,College,MAR2,0.92542101042502,0.8176360756566777,0.6970684039087948,0.9568925152608214,0.1,1,
60,Oracle,College,MAR2,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.1,2,
61,Naive,College,MAR2,0.9258219727345629,0.8111531169071402,0.693200663349917,0.9581208957639659,0.1,2,
62,KNN_hard,College,MAR2,0.9282277465918204,0.8152168886422493,0.7021630615640599,0.9582162758971513,0.1,2,5.0
63,KNN_proba,College,MAR2,0.9302325581395349,0.8190508809655938,0.71,0.9587480923973364,0.1,2,5.0
64,EM,College,MAR2,0.9262229350441058,0.8100403486866444,0.6933333333333334,0.9582133855900852,0.1,2,
65,Oracle,College,MAR2,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.1,3,
66,Naive,College,MAR2,0.9294306335204491,0.7850276313355531,0.6811594202898551,0.9490265445800962,0.1,3,
67,KNN_hard,College,MAR2,0.9274258219727346,0.7865638295412505,0.6773618538324421,0.949181176008139,0.1,3,5.0
68,KNN_proba,College,MAR2,0.9282277465918204,0.7856808407325194,0.6786355475763016,0.949660966981132,0.1,3,5.0
69,EM,College,MAR2,0.9286287089013633,0.7845680725120237,0.6787003610108303,0.9491118086385498,0.1,3,
70,Oracle,College,MAR2,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.1,4,
71,Naive,College,MAR2,0.9350180505415162,0.8244870960746042,0.7263513513513513,0.9613243692619099,0.1,4,
72,KNN_hard,College,MAR2,0.9358202968311271,0.8249468661895467,0.7288135593220338,0.9605349526494614,0.1,4,5.0
73,KNN_proba,College,MAR2,0.9350180505415162,0.8231446540880503,0.7254237288135593,0.9615296754138654,0.1,4,5.0
74,EM,College,MAR2,0.9350180505415162,0.8244870960746042,0.7263513513513513,0.9614169016120869,0.1,4,
75,Oracle,College,MNAR,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.1,0,
76,Naive,College,MNAR,0.9306335204490778,0.8165955651128376,0.7092436974789916,0.9574315575286719,0.1,0,
77,KNN_hard,College,MNAR,0.9306335204490778,0.8125679222160562,0.7062818336162988,0.9570384757676657,0.1,0,5.0
78,KNN_proba,College,MNAR,0.9302325581395349,0.8123381428042915,0.7050847457627119,0.957886780891602,0.1,0,5.0
79,EM,College,MNAR,0.9302325581395349,0.8136806904365519,0.706081081081081,0.9572465778764337,0.1,0,
80,Oracle,College,MNAR,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.1,1,
81,Naive,College,MNAR,0.9278267842822775,0.8203572997595264,0.7049180327868853,0.9582133855900852,0.1,1,
82,KNN_hard,College,MNAR,0.9282277465918204,0.8152168886422493,0.7021630615640599,0.9574069899186091,0.1,1,5.0
83,KNN_proba,College,MNAR,0.9290296712109062,0.8183615427302997,0.7064676616915423,0.9580269607843137,0.1,1,5.0
84,EM,College,MNAR,0.9274258219727346,0.8187849727155012,0.7027914614121511,0.9581714761376249,0.1,1,
85,Oracle,College,MNAR,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.1,2,
86,Naive,College,MNAR,0.9278267842822775,0.8149871092304846,0.7009966777408638,0.9597409128745839,0.1,2,
87,KNN_hard,College,MNAR,0.9274258219727346,0.8134147821864595,0.6988352745424293,0.9599432343692195,0.1,2,5.0
88,KNN_proba,College,MNAR,0.9286287089013633,0.815446668054014,0.7033333333333334,0.9602062523122455,0.1,2,5.0
89,EM,College,MNAR,0.9278267842822775,0.8149871092304846,0.7009966777408638,0.9598131705512394,0.1,2,
90,Oracle,College,MNAR,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.1,3,
91,Naive,College,MNAR,0.9262229350441058,0.7737915626156122,0.663003663003663,0.9484528186274509,0.1,3,
92,KNN_hard,College,MNAR,0.9246190858059342,0.771529897336293,0.656934306569343,0.9482085876803552,0.1,3,5.0
93,KNN_proba,College,MNAR,0.92542101042502,0.7746745514243434,0.6618181818181819,0.948272174435812,0.1,3,5.0
94,EM,College,MNAR,0.9266238973536488,0.7726787943951166,0.6629834254143646,0.9484875023122457,0.1,3,
95,Oracle,College,MNAR,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.1,4,
96,Naive,College,MNAR,0.9378259125551545,0.8234114075037953,0.7332185886402753,0.962199089134678,0.1,4,
97,KNN_hard,College,MNAR,0.9358202968311271,0.8182346562567773,0.7241379310344828,0.9617638979252512,0.1,4,5.0
98,KNN_proba,College,MNAR,0.9386281588447654,0.8252136196052917,0.7366609294320138,0.9625750018072725,0.1,4,5.0
99,EM,College,MNAR,0.9378259125551545,0.8234114075037953,0.7332185886402753,0.9622410178558519,0.1,4,
100,Oracle,College,MCAR,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.3,0,
101,Naive,College,MCAR,0.9302325581395349,0.8163657857010729,0.7080536912751678,0.9578376456714761,0.3,0,
102,KNN_hard,College,MCAR,0.9302325581395349,0.8069679522752498,0.7010309278350515,0.9572957130965594,0.3,0,5.0
103,KNN_proba,College,MCAR,0.9306335204490778,0.8112253745837958,0.7052810902896082,0.9577986265260822,0.3,0,5.0
104,EM,College,MCAR,0.9302325581395349,0.8163657857010729,0.7080536912751678,0.9576728981687014,0.3,0,
105,Oracle,College,MCAR,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.3,1,
106,Naive,College,MCAR,0.9274258219727346,0.8093871392896781,0.6957983193277311,0.9575182667406587,0.3,1,
107,KNN_hard,College,MCAR,0.9306335204490778,0.8139104698483166,0.7072758037225042,0.957380977155013,0.3,1,5.0
108,KNN_proba,College,MCAR,0.9282277465918204,0.8085041504809471,0.6971235194585449,0.9573592998520164,0.3,1,5.0
109,EM,College,MCAR,0.929831595829992,0.8080807204957454,0.7008547008547008,0.9573246161672215,0.3,1,
110,Oracle,College,MCAR,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.3,2,
111,Naive,College,MCAR,0.9230152365677626,0.8014893752312245,0.6789297658862876,0.9575182667406585,0.3,2,
112,KNN_hard,College,MCAR,0.9258219727345629,0.8084680216426192,0.6911519198664441,0.9578044071402148,0.3,2,5.0
113,KNN_proba,College,MCAR,0.9266238973536488,0.8048999375693673,0.6903553299492385,0.9585327645209027,0.3,2,5.0
114,EM,College,MCAR,0.9226142742582197,0.7999170481871993,0.6767169179229481,0.957784174990751,0.3,2,
115,Oracle,College,MCAR,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.3,3,
116,Naive,College,MCAR,0.9290296712109062,0.7861403995560488,0.6810810810810811,0.9481392203107659,0.3,3,
117,KNN_hard,College,MCAR,0.9282277465918204,0.7856808407325194,0.6786355475763016,0.9473675083240845,0.3,3,5.0
118,KNN_proba,College,MCAR,0.9278267842822775,0.7787383231594525,0.6715328467153284,0.9475221397521273,0.3,3,5.0
119,EM,College,MCAR,0.9266238973536488,0.7807340801886793,0.6702702702702703,0.9480554014058453,0.3,3,
120,Oracle,College,MCAR,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.3,4,
121,Naive,College,MCAR,0.9358202968311271,0.8262893081761007,0.7297297297297297,0.9597946938480446,0.3,4,
122,KNN_hard,College,MCAR,0.9362214199759326,0.8238343092604641,0.7291311754684838,0.9584804453119352,0.3,4,5.0
123,KNN_proba,College,MCAR,0.9342158042519053,0.8200000000000001,0.7210884353741497,0.9599074676498229,0.3,4,5.0
124,EM,College,MCAR,0.9366225431207381,0.8267490782910432,0.7322033898305085,0.9599566254608546,0.3,4,
125,Oracle,College,MAR1,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.3,0,
126,Naive,College,MAR1,0.9302325581395349,0.8123381428042915,0.7050847457627119,0.9579850513318535,0.3,0,
127,KNN_hard,College,MAR1,0.9306335204490778,0.8152530174805771,0.7082630691399663,0.9558939141694414,0.3,0,5.0
128,KNN_proba,College,MAR1,0.9318364073777065,0.8172849033481318,0.7128378378378378,0.9578260844432113,0.3,0,5.0
129,EM,College,MAR1,0.9310344827586207,0.812797701627821,0.7074829931972789,0.9578636584350722,0.3,0,
130,Oracle,College,MAR1,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.3,1,
131,Naive,College,MAR1,0.9246190858059342,0.8185190644654088,0.6957928802588996,0.9566656261561228,0.3,1,
132,KNN_hard,College,MAR1,0.9290296712109062,0.8277593761561228,0.713128038897893,0.9563823760636332,0.3,1,5.0
133,KNN_proba,College,MAR1,0.9282277465918204,0.825957269700333,0.7098865478119936,0.9583203269515354,0.3,1,5.0
134,EM,College,MAR1,0.9238171611868484,0.816716958009619,0.6925566343042071,0.956941650480947,0.3,1,
135,Oracle,College,MAR1,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.3,2,
136,Naive,College,MAR1,0.9286287089013633,0.818131763318535,0.7052980132450332,0.959482230392157,0.3,2,
137,KNN_hard,College,MAR1,0.9278267842822775,0.8123020139659638,0.6989966555183946,0.9599042152238254,0.3,2,5.0
138,KNN_proba,College,MAR1,0.9306335204490778,0.8165955651128376,0.7092436974789916,0.9606166759156493,0.3,2,5.0
139,EM,College,MAR1,0.9290296712109062,0.8183615427302997,0.7064676616915423,0.9600256081206067,0.3,2,
140,Oracle,College,MAR1,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.3,3,
141,Naive,College,MAR1,0.9218123496391339,0.7793192748797633,0.6572934973637962,0.9470423487791343,0.3,3,
142,KNN_hard,College,MAR1,0.9230152365677626,0.7826937083795782,0.6631578947368421,0.9462475143359231,0.3,3,5.0
143,KNN_proba,College,MAR1,0.9226142742582197,0.7797788337032927,0.6596119929453262,0.946024960691824,0.3,3,5.0
144,EM,College,MAR1,0.9230152365677626,0.7800086131150573,0.6607773851590106,0.9464541712911579,0.3,3,
145,Oracle,College,MAR1,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.3,4,
146,Naive,College,MAR1,0.9342158042519053,0.8038906961613532,0.7092198581560284,0.9604380828453698,0.3,4,
147,KNN_hard,College,MAR1,0.9346169273967108,0.8027781392322706,0.7094474153297683,0.9594375768090798,0.3,4,5.0
148,KNN_proba,College,MAR1,0.9350180505415162,0.8003231403166341,0.7086330935251799,0.9612029205523025,0.3,4,5.0
149,EM,College,MAR1,0.9346169273967108,0.8041205812188246,0.7104795737122558,0.9591079303115737,0.3,4,
150,Oracle,College,MAR2,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.3,0,
151,Naive,College,MAR2,0.9314354450681636,0.8103423857750647,0.7066895368782161,0.9577885104513504,0.3,0,
152,KNN_hard,College,MAR2,0.9302325581395349,0.8042828570107288,0.698961937716263,0.9571251849796523,0.3,0,5.0
153,KNN_proba,College,MAR2,0.9310344827586207,0.8033998682019978,0.7003484320557491,0.9581743664446911,0.3,0,5.0
154,EM,College,MAR2,0.9294306335204491,0.8065083934517203,0.6986301369863014,0.9576020856455789,0.3,0,
155,Oracle,College,MAR2,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.3,1,
156,Naive,College,MAR2,0.9222133119486768,0.8225105785238623,0.6930379746835443,0.9568260381982983,0.3,1,
157,KNN_hard,College,MAR2,0.9266238973536488,0.8290657949500555,0.7081339712918661,0.9579229097299298,0.3,1,5.0
158,KNN_proba,College,MAR2,0.9250200481154771,0.8241190344062153,0.7008,0.9585616675915649,0.3,1,5.0
159,EM,College,MAR2,0.9246190858059342,0.8265743502589715,0.7015873015873015,0.9570124630040695,0.3,1,
160,Oracle,College,MAR2,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.3,2,
161,Naive,College,MAR2,0.9246190858059342,0.813148873936367,0.6918032786885245,0.9588680401405845,0.3,2,
162,KNN_hard,College,MAR2,0.9290296712109062,0.8264168285238623,0.7121951219512195,0.9600227178135405,0.3,2,5.0
163,KNN_proba,College,MAR2,0.9282277465918204,0.8219296268035516,0.707037643207856,0.9604851669441361,0.3,2,5.0
164,EM,College,MAR2,0.92542101042502,0.8149509803921569,0.6950819672131148,0.9591744126896041,0.3,2,
165,Oracle,College,MAR2,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.3,3,
166,Naive,College,MAR2,0.9242181234963913,0.7739852131890492,0.6582278481012658,0.947712900018498,0.3,3,
167,KNN_hard,College,MAR2,0.9250200481154771,0.7744447720125787,0.6606170598911071,0.9459628190899002,0.3,3,5.0
168,KNN_proba,College,MAR2,0.9234161988773055,0.7748682019977802,0.6570915619389587,0.9474180886977432,0.3,3,5.0
169,EM,College,MAR2,0.9274258219727346,0.7811936390122087,0.6726943942133815,0.9475105785238623,0.3,3,
170,Oracle,College,MAR2,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.3,4,
171,Naive,College,MAR2,0.9378259125551545,0.8328085014096724,0.7394957983193278,0.9614371430636883,0.3,4,
172,KNN_hard,College,MAR2,0.9358202968311271,0.8168922142702233,0.7231833910034602,0.9602920552302465,0.3,4,5.0
173,KNN_proba,College,MAR2,0.9386281588447654,0.8252136196052917,0.7366609294320138,0.9617725728330804,0.3,4,5.0
174,EM,College,MAR2,0.9386281588447654,0.8292409455649534,0.7393526405451448,0.9617566688353936,0.3,4,
175,Oracle,College,MNAR,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.3,0,
176,Naive,College,MNAR,0.9274258219727346,0.8120722345541991,0.6978297161936561,0.9585327645209027,0.3,0,
177,KNN_hard,College,MNAR,0.9282277465918204,0.8085041504809471,0.6971235194585449,0.9564401822049574,0.3,0,5.0
178,KNN_proba,College,MNAR,0.9266238973536488,0.8062424852016278,0.6913996627318718,0.9576815690899002,0.3,0,5.0
179,EM,College,MNAR,0.9270248596631917,0.8104999075101739,0.6956521739130435,0.9578665487421384,0.3,0,
180,Oracle,College,MNAR,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.3,1,
181,Naive,College,MNAR,0.92542101042502,0.82434881381798,0.7019230769230769,0.95664105854606,0.3,1,
182,KNN_hard,College,MNAR,0.9282277465918204,0.8192445315390307,0.7051070840197694,0.9566338327783943,0.3,1,5.0
183,KNN_proba,College,MNAR,0.9290296712109062,0.8210466379948205,0.7084019769357496,0.9572942679430263,0.3,1,5.0
184,EM,College,MNAR,0.9246190858059342,0.8225467073621902,0.6987179487179487,0.9570095726970033,0.3,1,
185,Oracle,College,MNAR,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.3,2,
186,Naive,College,MNAR,0.9278267842822775,0.8230423950240473,0.7068403908794788,0.9592322188309286,0.3,2,
187,KNN_hard,College,MNAR,0.9306335204490778,0.8313635890677025,0.7196110210696921,0.9598016093229746,0.3,2,5.0
188,KNN_proba,College,MNAR,0.9306335204490778,0.8286784938031817,0.7177814029363785,0.9606239016833149,0.3,2,5.0
189,EM,College,MNAR,0.9270248596631917,0.8185551933037365,0.7016393442622951,0.9592712379763226,0.3,2,
190,Oracle,College,MNAR,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.3,3,
191,Naive,College,MNAR,0.9294306335204491,0.787712726600074,0.6834532374100719,0.9485597599889012,0.3,3,
192,KNN_hard,College,MNAR,0.9278267842822775,0.7827659660562338,0.6750902527075813,0.9484455928597854,0.3,3,5.0
193,KNN_proba,College,MNAR,0.9278267842822775,0.7773957755271921,0.6703296703296703,0.9490077575841658,0.3,3,5.0
194,EM,College,MNAR,0.9282277465918204,0.7829957454679985,0.6763110307414105,0.9490988022567518,0.3,3,
195,Oracle,College,MNAR,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.3,4,
196,Naive,College,MNAR,0.9346169273967108,0.8202298850574712,0.7223168654173765,0.960701221716186,0.3,4,
