,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
29,EM,Electricity,MAR1,0.751075802714333,0.7297152036245995,0.6673547626069006,0.8164114091966441,0.1,0,
30,Oracle,Electricity,MAR1,0.760785611828313,0.7404344476492127,0.6824838898652607,0.8238037266560757,0.1,1,
31,Naive,Electricity,MAR1,0.7602339181286549,0.73971663879382,0.681331573544508,0.8241683493361345,0.1,1,
32,KNN_hard,Electricity,MAR1,0.7592408694692706,0.7384790794186767,0.6794005289450484,0.823422858657758,0.1,1,5.0
33,KNN_proba,Electricity,MAR1,0.7597925631689286,0.7389244054512512,0.6798058538020297,0.8234231576513457,0.1,1,5.0
34,EM,Electricity,MAR1,0.7608959505682446,0.7403259628091843,0.6820249449743213,0.8241207096911795,0.1,1,
35,Oracle,Electricity,MAR1,0.7485102626351798,0.7287520676419548,0.6687018461985754,0.8099925705702368,0.1,2,
36,Naive,Electricity,MAR1,0.7469653498124035,0.7269324679538862,0.66598689002185,0.8099588253575585,0.1,2,
37,KNN_hard,Electricity,MAR1,0.7476274553078791,0.7273372609703718,0.6660826398014309,0.8097599927824124,0.1,2,5.0
38,KNN_proba,Electricity,MAR1,0.7476274553078791,0.7272690727119612,0.6658875091307523,0.8096847763482447,0.1,2,5.0
39,EM,Electricity,MAR1,0.7470757007283161,0.726960156972561,0.6658892128279883,0.809930862190184,0.1,2,
40,Oracle,Electricity,MAR1,0.7580004414036636,0.7390431612236104,0.6827715897584261,0.8202844616753825,0.1,3,
41,Naive,Electricity,MAR1,0.7586625468991393,0.739686613144533,0.6835479670091159,0.8202931845885564,0.1,3,
42,KNN_hard,Electricity,MAR1,0.757338335908188,0.7379564856230192,0.6807954710407896,0.8200526814110483,0.1,3,5.0
43,KNN_proba,Electricity,MAR1,0.7574486868241006,0.7378477981248728,0.6803374054682956,0.8199952597197552,0.1,3,5.0
44,EM,Electricity,MAR1,0.7583314941514014,0.7392966989256611,0.6829762594093804,0.8202815706527307,0.1,3,
45,Oracle,Electricity,MAR1,0.7594350033105275,0.7391644595619453,0.6810067310506293,0.8245460284451706,0.1,4,
46,Naive,Electricity,MAR1,0.7592143014787023,0.7388704226201588,0.6805270863836017,0.8247618582397012,0.1,4,
47,KNN_hard,Electricity,MAR1,0.7589935996468771,0.7382695385155247,0.6792009400705052,0.8238850808526823,0.1,4,5.0
48,KNN_proba,Electricity,MAR1,0.7596557051423527,0.7387084256612155,0.67942302031204,0.824093284328838,0.1,4,5.0
49,EM,Electricity,MAR1,0.7591039505627897,0.7386722629554576,0.6801465201465201,0.8247255709208979,0.1,4,
50,Oracle,Electricity,MAR2,0.7511861414542645,0.7297429601959804,0.6672568983325955,0.8159517065557333,0.1,0,
51,Naive,Electricity,MAR2,0.7512964801941961,0.7299410185316225,0.6676496608670008,0.815967353886817,0.1,0,
52,KNN_hard,Electricity,MAR2,0.750524109014675,0.7286908515935362,0.6652849740932643,0.8155878313596434,0.1,0,5.0
53,KNN_proba,Electricity,MAR2,0.7499724153150171,0.7279389823852911,0.6639976275207592,0.8155421351730077,0.1,0,5.0
54,EM,Electricity,MAR2,0.7514068189341278,0.7300368958087079,0.6677481197463501,0.8159412916124327,0.1,0,
55,Oracle,Electricity,MAR2,0.760785611828313,0.7404344476492127,0.6824838898652607,0.8238037266560757,0.1,1,
56,Naive,Electricity,MAR2,0.7608959505682446,0.7404962645734458,0.6824908424908425,0.8238676116192895,0.1,1,
57,KNN_hard,Electricity,MAR2,0.759682224428997,0.738964769585575,0.6800822561692127,0.8234843516722711,0.1,1,5.0
58,KNN_proba,Electricity,MAR2,0.7597925631689286,0.7388562847455464,0.6796173657100809,0.823497108732008,0.1,1,5.0
59,EM,Electricity,MAR2,0.7605649343484497,0.7401745723893375,0.68209786111925,0.8238240083877668,0.1,1,
60,Oracle,Electricity,MAR2,0.7485102626351798,0.7287520676419548,0.6687018461985754,0.8099925705702368,0.1,2,
61,Naive,Electricity,MAR2,0.7478481571397042,0.7282790863670587,0.6684080684951386,0.8098390472983767,0.1,2,
62,KNN_hard,Electricity,MAR2,0.7477378062237917,0.7276717971518941,0.6668609734771204,0.8096316413457113,0.1,2,5.0
63,KNN_proba,Electricity,MAR2,0.7476274553078791,0.7274395433579877,0.6663749088256747,0.809619130195959,0.1,2,5.0
64,EM,Electricity,MAR2,0.7480688589715294,0.7284708409212293,0.6686021193206562,0.8097934389237819,0.1,2,
65,Oracle,Electricity,MAR2,0.7580004414036636,0.7390431612236104,0.6827715897584261,0.8202844616753825,0.1,3,
66,Naive,Electricity,MAR2,0.7577797395718384,0.7387832184110291,0.6823903921284908,0.8203183065784971,0.1,3,
67,KNN_hard,Electricity,MAR2,0.7575590377400132,0.7381823343063951,0.681085788938888,0.8201952387349183,0.1,3,5.0
68,KNN_proba,Electricity,MAR2,0.7574486868241006,0.7376773274788464,0.6798718322167201,0.8201438981602379,0.1,3,5.0
69,EM,Electricity,MAR2,0.7581107923195762,0.7390367561130798,0.6825948450622646,0.8203084870705242,0.1,3,
70,Oracle,Electricity,MAR2,0.7594350033105275,0.7391644595619453,0.6810067310506293,0.8245460284451706,0.1,4,
71,Naive,Electricity,MAR2,0.7591039505627897,0.7388086394722787,0.6805210010244402,0.824649606808458,0.1,4,
72,KNN_hard,Electricity,MAR2,0.7588832487309645,0.7382077553676447,0.6791954191748641,0.8242351936648722,0.1,4,5.0
73,KNN_proba,Electricity,MAR2,0.7588832487309645,0.7381395671092341,0.6790069046569708,0.8242401781866858,0.1,4,5.0
